NM_MUNICIP,CODIGO,AREA_km2
CAIUÃ,"3509106",551.161
CASTILHO,"3511003",1065.318
DRACENA,"3514403",487.688
ESTRELA DO NORTE,"3515301",264.987
EUCLIDES DA CUNHA PAULISTA,"3515350",573.894
MARABÃ PAULISTA,"3528700",919.519
MIRANTE DO PARANAPANEMA,"3530201",1238.931
MONTE CASTELO,"3531605",233.547
NARANDIBA,"3532207",357.325
NOVA GUATAPORANGA,"3533106",34.158
OURO VERDE,"3534807",266.770
PANORAMA,"3535408",356.057
PAULICÃ‰IA,"3536406",374.091
PIQUEROBI,"3538303",482.769
PRESIDENTE BERNARDES,"3541208",749.233
PRESIDENTE EPITÃCIO,"3541307",1260.279
PRESIDENTE VENCESLAU,"3541505",755.203
RIBEIRÃƒO DOS ÃNDIOS,"3543238",196.446
ROSANA,"3544251",744.012
SANDOVALINA,"3545506",455.856
SANTA MERCEDES,"3547106",166.753
SANTO ANASTÃCIO,"3547700",552.876
SÃƒO JOÃƒO DO PAU D'ALHO,"3549300",117.665
TARABAI,"3553906",201.385
TEODORO SAMPAIO,"3554300",1555.803
TUPI PAULISTA,"3555109",244.770
ABELARDO LUZ,"4200101",953.058
ÃGUAS DE CHAPECÃ“,"4200507",139.832
ÃGUAS FRIAS,"4200556",76.140
ALTO BELA VISTA,"4200754",103.980
ANCHIETA,"4200804",231.991
ARABUTÃƒ,"4201273",133.295
ARVOREDO,"4201653",90.769
BANDEIRANTE,"4202081",147.912
BARRA BONITA,"4202099",93.108
BELMONTE,"4202156",92.866
BOM JESUS,"4202537",63.469
BOM JESUS DO OESTE,"4202578",67.093
CAIBI,"4203105",174.839
CAMPO ERÃŠ,"4203501",479.093
CAPINZAL,"4203907",244.200
CATANDUVAS,"4204004",197.297
CAXAMBU DO SUL,"4204103",140.708
CHAPECÃ“,"4204202",626.060
CONCÃ“RDIA,"4204301",799.449
CORDILHEIRA ALTA,"4204350",82.859
CORONEL FREITAS,"4204400",233.968
CORONEL MARTINS,"4204459",107.299
CUNHA PORÃƒ,"4204707",217.915
CUNHATAÃ,"4204756",55.768
DESCANSO,"4204905",287.396
DIONÃSIO CERQUEIRA,"4205001",379.235
ENTRE RIOS,"4205175",104.549
FAXINAL DOS GUEDES,"4205308",339.699
FLOR DO SERTÃƒO,"4205357",58.735
FORMOSA DO SUL,"4205431",100.105
GALVÃƒO,"4205605",139.341
GUARACIABA,"4206405",330.570
GUARUJÃ DO SUL,"4206603",100.220
GUATAMBÃš,"4206652",205.874
IPIRA,"4207601",154.565
IPORÃƒ DO OESTE,"4207650",199.302
IPUAÃ‡U,"4207684",260.893
IPUMIRIM,"4207700",247.717
IRACEMINHA,"4207759",163.105
IRANI,"4207809",325.737
IRATI,"4207858",78.275
ITÃ,"4208005",165.869
ITAPIRANGA,"4208401",283.031
JABORÃ,"4208609",182.154
JARDINÃ“POLIS,"4208955",67.684
JOAÃ‡ABA,"4209003",242.110
JUPIÃ,"4209177",92.055
LACERDÃ“POLIS,"4209201",68.890
LAJEADO GRANDE,"4209458",65.283
LINDÃ“IA DO SUL,"4209854",188.636
LUZERNA,"4210035",118.382
MARAVILHA,"4210506",171.284
MAREMA,"4210555",104.065
MODELO,"4210902",91.107
MONDAÃ,"4211009",202.145
NOVA ERECHIM,"4211405",64.892
NOVA ITABERABA,"4211454",137.547
NOVO HORIZONTE,"4211652",151.852
OURO,"4211801",213.575
OURO VERDE,"4211850",189.224
PAIAL,"4211876",85.757
PALMA SOLA,"4212007",330.104
PALMITOS,"4212106",352.505
PARAÃSO,"4212239",181.843
PASSOS MAIA,"4212270",619.155
PERITIBA,"4212601",95.842
PINHALZINHO,"4212908",128.159
PIRATUBA,"4213104",145.976
PLANALTO ALEGRE,"4213153",62.461
PONTE SERRADA,"4213401",564.489
PRESIDENTE CASTELLO BRANCO,"4213906",65.605
PRINCESA,"4214151",86.180
QUILOMBO,"4214201",280.258
RIQUEZA,"4215075",191.907
ROMELÃ‚NDIA,"4215208",222.575
SALTINHO,"4215356",156.530
SANTA HELENA,"4215554",81.229
SANTA TEREZINHA DO PROGRESSO,"4215687",118.805
SANTIAGO DO SUL,"4215695",73.836
SÃƒO BERNARDINO,"4215752",149.020
SÃƒO CARLOS,"4216008",161.293
SÃƒO DOMINGOS,"4216107",367.203
SÃƒO JOÃƒO DO OESTE,"4216255",163.304
SÃƒO JOSÃ‰ DO CEDRO,"4216701",281.253
SÃƒO LOURENÃ‡O DO OESTE,"4216909",356.315
SÃƒO MIGUEL DA BOA VISTA,"4217154",71.405
SÃƒO MIGUEL DO OESTE,"4217204",234.034
SAUDADES,"4217303",206.595
SEARA,"4217501",310.981
SERRA ALTA,"4217550",92.348
SUL BRASIL,"4217758",112.873
TIGRINHOS,"4217956",57.944
TUNÃPOLIS,"4218756",133.291
UNIÃƒO DO OESTE,"4218855",92.617
VARGEÃƒO,"4219101",166.648
VARGEM BONITA,"4219176",298.498
XANXERÃŠ,"4219507",377.764
XAVANTINA,"4219606",216.688
XAXIM,"4219705",293.279
ZORTÃ‰A,"4219853",189.717
LAGOA MIRIM,"4300001",2832.216
ACEGUÃ,"4300034",1547.955
ÃGUA SANTA,"4300059",291.902
AGUDO,"4300109",536.115
AJURICABA,"4300208",323.239
ALECRIM,"4300307",316.736
ALEGRETE,"4300406",7803.955
ALEGRIA,"4300455",172.687
ALMIRANTE TAMANDARÃ‰ DO SUL,"4300471",265.368
ALPESTRE,"4300505",324.639
ALTO ALEGRE,"4300554",114.445
AMARAL FERRADOR,"4300638",506.457
AMETISTA DO SUL,"4300646",93.490
ANTA GORDA,"4300703",242.964
ARAMBARÃ‰,"4300851",519.124
ARATIBA,"4300901",342.504
ARROIO DO MEIO,"4301008",157.957
ARROIO DO PADRE,"4301073",124.317
ARROIO DOS RATOS,"4301107",425.934
ARROIO DO TIGRE,"4301206",316.509
ARROIO GRANDE,"4301305",2513.601
ARVOREZINHA,"4301404",271.642
AUGUSTO PESTANA,"4301503",347.722
ÃUREA,"4301552",158.291
BAGÃ‰,"4301602",4093.582
BARÃƒO DE COTEGIPE,"4301701",260.212
BARÃƒO DO TRIUNFO,"4301750",436.395
