CODIGO;FROTA
1200013;5565
1200054;1652
1200104;8845
1200138;1986
1200179;2017
1200203;31135
1200252;5870
1200302;3543
1200328;111
1200336;3420
1200344;1070
1200351;321
1200385;4474
1200807;3544
1200393;275
1200401;179395
1200427;1424
1200435;162
1200500;7958
1200450;6501
1200609;4624
1200708;3939
2700102;4102
2700201;2670
2700300;104908
2700409;6305
2700508;1921
2700607;1683
2700706;3591
2700805;1133
2700904;724
2701001;5436
2701100;1370
2701209;2032
2701308;2843
2701357;606
2701407;4584
2701506;2368
2701605;2514
2701704;1966
2701803;1139
2701902;1230
2702009;2615
2702108;1605
2702207;981
2702306;12688
2702355;5330
2702405;18949
2702504;2574
2702553;3323
2702603;4554
2702702;611
2702801;1392
2702900;8253
2703007;2034
2703106;5184
2703205;4324
2703304;3995
2703403;884
2703502;572
2703601;1259
2703700;809
2703759;1283
2703809;2357
2703908;597
2704005;5338
2704104;4617
2704203;4804
2704302;333759
2704401;3259
2704906;903
2704500;3764
2704609;2053
2704708;10292
2704807;2605
2705002;4007
2705101;3709
2705200;2282
2705309;1253
2705408;1010
2705507;3982
2705606;1620
2705705;5102
2705804;1492
2705903;975
2706000;2405
2706109;2566
2706208;495
2706307;24137
2706406;2945
2706422;2089
2706448;1875
2706505;1537
2706604;1262
2706703;16898
2706802;2056
2706901;6602
2707008;401
2707107;5050
2707206;2549
2707305;4929
2707404;1151
2707503;2117
2707602;2023
2707701;15043
2707800;898
2707909;1128
2708006;15527
2708105;2438
2708204;512
2708303;3566
2708402;5048
2708501;4635
2708600;14462
2708709;1354
2708808;7436
2708907;3019
2708956;1980
2709004;1213
2709103;4379
2709152;7705
2709202;3341
2709301;16212
2709400;5720
1300029;648
1300060;292
1300086;163
1300102;470
1300144;3559
1300201;453
1300300;1958
1300409;1007
1300508;594
1300607;1530
1300631;401
1300680;411
1300706;3117
1300805;879
1300839;276
1300904;222
1301001;2509
1301100;2123
1301159;438
1301209;10256
1301308;612
1301407;1799
1301506;446
1301605;1449
1301654;276
1301704;7564
1301803;36
1301852;6539
1301902;23368
1301951;282
1302009;741
1302108;284
1302207;450
1302306;583
1302405;2109
1302504;16175
1302553;627
1302603;718205
1302702;2068
1302801;509
1302900;4955
1303007;557
1303106;1104
1303205;1274
1303304;820
1303403;18090
1303502;197
1303536;6787
1303569;4259
1303601;382
1303700;835
1303809;3682
1303908;1102
1303957;272
1304005;372
1304062;8705
1304104;520
1304203;11432
1304237;476
1304260;514
1304302;738
1304401;582
1600105;632
1600204;740
1600212;165
1600238;561
1600253;161
1600279;5188
1600303;152475
1600402;1016
1600501;3289
1600154;691
1600535;2233
1600550;125
1600600;26337
1600055;508
1600709;561
1600808;357
2900108;2007
2900207;2543
2900306;2632
2900355;1560
2900405;2169
2900603;521
2900702;55987
2900801;3983
2900900;682
2901007;11273
2901106;6147
2901155;2158
2901205;2837
2901304;1552
2901353;3068
2901403;2104
2901502;1330
2901601;2111
2901700;1458
2901809;1599
2901908;2874
2901957;1085
2902054;2164
2902005;2744
2902104;8424
2902203;1384
2902252;1036
2902302;1373
2902401;1471
2902500;2334
2902609;3533
2902658;1744
2902708;6672
2902807;7603
2902906;4971
2903003;2011
2903102;679
2903201;78853
2903235;2078
2903300;567
2903276;4710
2903409;2631
2903508;2589
2903607;2524
2903706;1338
2903805;2447
2903904;22590
2903953;1058
2904001;2917
2904050;2104
2904100;4674
2904209;2315
2904308;2343
2904407;1998
2904506;1785
2904605;37600
2904704;3339
2904753;1500
2904803;947
2904852;2554
2904902;5357
2905008;8067
2905107;1726
2905156;1362
2905206;17370
2905305;3152
2905404;838
2905503;2007
2905602;5761
2905701;91506
2905800;5207
2905909;2056
2906006;15761
2906105;1840
2906204;5155
2906303;5035
2906402;1009
2906501;25932
2906600;3047
2906709;5164
2906808;6831
2906824;2512
2906857;2553
2906873;13884
2906899;1188
2906907;3042
2907004;1211
2907103;5406
2907202;13300
2907301;5601
2907400;481
2907509;16071
2907558;1789
2907608;3033
2907707;1193
2907806;8140
2907905;4703
2908002;3747
2908101;4302
2908200;4875
2908309;3334
2908408;22979
2908507;11170
2908606;3299
2908705;3697
2908804;840
2908903;5611
2909000;1564
2909109;2850
2909208;1568
2909307;8525
2909406;1976
2909505;652
2909604;3488
2909703;2519
2909802;29982
2909901;3594
2910008;1104
2910057;22100
2910107;4275
2910206;1009
2910305;1775
2910404;2252
2910503;8801
2900504;2082
2910602;6419
2910701;13271
2910727;46789
2910750;1963
2910776;1109
2910800;277893
2910859;3409
2910909;674
2911006;1311
2911105;4903
2911204;9910
2911253;831
2911303;1500
2911402;3487
2911501;613
2911600;6543
2911659;1146
2911709;46643
2911808;3531
2911857;1452
2911907;5190
2912004;2731
2912103;4668
2912202;5154
2912301;2546
2912400;2268
2912509;4238
2912608;462
2912707;2389
2912806;1754
2912905;4037
2913002;3644
2913101;2614
2913200;9708
2913309;1784
2913408;3111
2913457;1646
2913507;3443
2913606;42463
2913705;8441
2913804;1684
2913903;14314
2914000;16740
2914109;2408
2914208;1108
2914307;1285
2914406;4271
2914505;6801
2914604;32555
2914653;8038
2914703;22751
2914802;76478
2914901;2571
2915007;2438
2915106;1828
2915205;1976
2915304;1338
2915353;1397
2915403;837
2915502;3915
2915601;21268
2915700;1410
2915809;3170
2915908;633
2916005;4517
2916104;2946
2916203;1475
2916302;1282
2916401;19693
2916500;2057
2916609;914
2916708;1048
2916807;3248
2916856;4502
2916906;2853
2917003;6238
2917102;3397
2917201;4378
2917300;5645
2917334;2106
2917359;2028
2917409;2294
2917508;30500
2917607;13193
2917706;7623
2917805;1877
2917904;802
2918001;65703
2918100;7167
2918209;3345
2918308;1973
2918357;5041
2918407;99511
2918456;1316
2918506;3107
2918555;844
2918605;2189
2918704;624
2919058;1310
2918753;2242
2918803;4895
2918902;792
2919009;493
2919108;1011
2919157;4603
2919207;78273
2919306;2828
2919405;2952
2919504;17323
2919553;49177
2919603;1541
2919702;3346
2919801;11815
2919900;753
2919926;3250
2919959;975
2920007;1577
2920106;3117
2920205;2399
2920304;2207
2920403;1671
2920452;627
2920502;6334
2920601;5730
2920700;1316
2920809;1487
2920908;1445
2921005;10512
2921054;1767
2921104;5933
2921203;5376
2921302;2499
2921401;2183
2921450;1073
2921500;7584
2921609;684
2921708;5960
2921807;2714
2921906;3208
2922003;7676
2922052;1760
2922102;2986
2922201;1565
2922250;1036
2922300;6689
2922409;8183
2922508;7464
2922607;1873
2922656;1831
2922706;1652
2922730;2016
2922755;871
2922805;892
2922854;983
2922904;4066
2923001;7546
2923035;3593
2923050;1318
2923100;4316
2923209;4344
2923308;783
2923357;3169
2923407;4092
2923506;2255
2923605;6929
2923704;3720
2923803;6180
2923902;1768
2924009;53049
2924058;2744
2924108;674
2924207;793
2924306;3879
2924405;2172
2924504;3099
2924603;3515
2924652;2344
2924678;2195
2924702;2059
2924801;3484
2924900;1383
2925006;3893
2925105;13010
2925204;10315
2925253;3107
2925303;47950
2925402;1364
2925501;4972
2925600;3392
2925709;1455
2925758;6369
2925808;4850
2925907;2697
2925931;2037
2925956;3264
2926004;8672
2926103;4026
2926202;2751
2926301;9669
2926400;6748
2926509;1857
2926608;15241
2926657;822
2926707;3589
2926806;2782
2926905;3328
2927002;9652
2927101;2119
2927200;6616
2927309;1185
2927408;915186
2927507;4137
2927606;2121
2927705;6111
2927804;573
2927903;1629
2928059;1347
2928109;13222
2928406;3781
2928505;1533
2928000;7832
2928208;6909
2928307;1532
2928604;10553
2928703;51823
2928802;17346
2928901;6508
2928950;2045
2929107;6056
2929008;2305
2929057;5503
2929206;7395
2929255;3329
2929305;7394
2929354;842
2929370;2219
2929404;2088
2929503;9234
2929602;4676
2929701;2114
2929750;1380
2929800;2281
2929909;18890
2930006;1503
2930105;24806
2930204;3012
2930154;6129
2930303;3437
2930402;2678
2930501;30603
2930600;3298
2930709;39434
2930758;1433
2930766;1658
2930774;5383
2930808;2910
2930907;1919
2931004;5694
2931053;4716
2931103;1410
2931202;3300
2931301;1763
2931350;63240
2931400;829
2931509;5296
2931608;2929
2931707;1327
2931806;2593
2931905;10197
2932002;4406
2932101;4254
2932200;5196
2932309;4161
2932408;2698
2932457;1724
2932507;3119
2932606;4948
2932705;3625
2932804;3036
2932903;26111
2933000;6596
2933059;2602
2933109;2127
2933158;2417
2933174;1962
2933208;6169
2933257;1185
2933307;140126
2933406;1080
2933455;2275
2933505;3656
2933604;8701
2300101;2534
2300150;2755
2300200;15949
2300309;16026
2300408;2906
2300507;3961
2300606;1702
2300705;4374
2300754;8615
2300804;2330
2300903;4032
2301000;22104
2301109;23293
2301208;6124
2301257;3244
2301307;6116
2301406;3039
2301505;1853
2301604;5963
2301703;5594
2301802;1546
2301851;4035
2301901;20368
2301950;6685
2302008;4980
2302057;2982
2302107;10319
2302206;12496
2302305;8083
2302404;19544
2302503;20028
2302602;18361
2302701;11146
2302800;26457
2302909;4004
2303006;4519
2303105;5052
2303204;7794
2303303;4457
2303402;4402
2303501;20554
2303600;3582
2303659;2198
2303709;93002
2303808;8543
2303907;2506
2303931;2861
2303956;5910
2304004;5520
2304103;31973
2304202;51821
2304236;5110
2304251;9835
2304269;2895
2304277;1161
2304285;24724
2304301;4445
2304350;7136
2304400;1098652
2304459;3613
2304509;5622
2304608;1629
2304657;4111
2304707;10181
2304806;531
2304905;4944
2304954;4172
2305001;16063
2305100;1794
2305209;5720
2305233;21687
2305266;2934
2305308;7277
2305332;3278
2305357;6620
2305407;23780
2305506;49704
2305605;10243
2305654;3792
2305704;9574
2305803;14366
2305902;11268
2306009;5341
2306108;4931
2306207;2851
2306256;12084
2306306;15782
2306405;37960
2306504;3834
2306553;9174
2306603;4711
2306702;5578
2306801;4495
2306900;14011
2307007;11714
2307106;8559
2307205;2385
2307254;8789
2307304;119898
2307403;6760
2307502;6792
2307601;31269
2307635;4379
2307650;71906
2307700;26547
2307809;7624
2307908;2303
2308005;9471
2308104;12042
2308203;4086
2308302;6698
2308351;5189
2308377;2316
2308401;11384
2308500;12015
2308609;5511
2308708;23844
2308807;2119
2308906;5240
2309003;4769
2309102;2366
2309201;4231
2309300;12005
2309409;11482
2309458;6880
2309508;6325
2309607;23490
2309706;16161
2309805;3066
2309904;2004
2310001;3747
2310100;2109
2310209;9243
2310258;8814
2310308;10671
2310407;2899
2310506;14454
2310605;3549
2310704;12069
2310803;10570
2310852;5348
2310902;4048
2310951;2374
2311009;3491
2311108;4404
2311207;2390
2311231;1819
2311264;6900
2311306;31650
2311355;5272
2311405;25586
2311504;9123
2311603;7703
2311702;5661
2311801;36360
2311900;3698
2311959;2691
2312205;13687
2312007;7193
2312106;3592
2312304;17526
2312403;14987
2312502;3398
2312601;2886
2312700;8537
2312809;1563
2312908;94001
2313005;6117
2313104;18281
2313203;7985
2313252;2074
2313302;23790
2313351;3632
2313401;36414
2313500;11267
2313559;3750
2313609;11515
2313708;1181
2313757;3409
2313807;4937
2313906;3323
2313955;7517
2314003;15033
2314102;16657
5300108;1812473
3200102;19372
3200169;5240
3200136;5369
