CODIGO;IDHM2010
5200050;0.708
3100104;0.689
5200100;0.689
3100203;0.698
1500107;0.628
2300101;0.628
2900108;0.603
2900207;0.575
4100103;0.687
4200051;0.694
4200101;0.696
1500131;0.622
3100302;0.654
2600054;0.679
1700251;0.665
3100401;0.63
2100055;0.672
2900306;0.582
1500206;0.506
2300150;0.606
2300200;0.601
2400109;0.679
2200053;0.528
4300034;0.687
2300309;0.595
5100102;0.628
1200013;0.604
5200134;0.686
2400208;0.661
3100500;0.61
3500105;0.79
5200159;0.702
3500204;0.73
4100202;0.667
2900355;0.546
2600104;0.657
2400307;0.585
3200102;0.667
2100105;0.529
2600203;0.588
1500305;0.489
2600302;0.592
2200103;0.599
4200200;0.725
4200309;0.741
1500347;0.564
3100609;0.576
5100201;0.729
2200202;0.639
2500106;0.572
2700102;0.549
5000203;0.67
3100708;0.675
4200408;0.698
2100154;0.5
3200169;0.652
2900405;0.55
5200175;0.671
3500303;0.715
5200209;0.722
3100807;0.663
2400406;0.616
2600401;0.553
4300059;0.75
2600500;0.526
3500402;0.781
4200507;0.713
3500501;0.745
3500550;0.757
3500600;0.854
3100906;0.645
4200556;0.745
5200258;0.686
4200606;0.723
3101003;0.601
4300109;0.694
3500709;0.745
4100301;0.66
3200136;0.678
2500205;0.597
1700301;0.657
3101102;0.684
2900603;0.583
2300408;0.569
3101201;0.668
4300208;0.753
3101300;0.649
2500304;0.582
2500403;0.576
2500502;0.595
2600609;0.599
2200251;0.531
2900702;0.683
3500758;0.712
3101409;0.673
2100204;0.573
2300507;0.6
2500536;0.578
5000252;0.711
2900801;0.608
2100303;0.513
4300307;0.672
3200201;0.721
4300406;0.74
2200277;0.585
4300455;0.695
3101508;0.726
1500404;0.564
2400505;0.606
5200308;0.682
3101607;0.761
3200300;0.71
3500808;0.741
3101631;0.675
4200705;0.668
2500577;0.548
2500601;0.582
2600708;0.604
1700350;0.663
2900900;0.563
1700400;0.636
1500503;0.642
3101706;0.642
2400604;0.624
4100400;0.699
4300471;0.74
5200506;0.697
3101805;0.646
4300505;0.671
3101904;0.725
5100250;0.714
1100015;0.641
3500907;0.687
1500602;0.665
2100402;0.549
4100459;0.667
2300606;0.602
3102001;0.668
2600807;0.598
3501004;0.73
1400050;0.542
3501103;0.7
4300554;0.747
2100436;0.554
2100477;0.558
1100379;0.592
5100300;0.704
4200754;0.755
5100359;0.651
3102050;0.661
2400703;0.672
4300570;0.734
5100409;0.701
5200555;0.719
3153509;0.66
2200301;0.585
4100509;0.721
5100508;0.638
1100403;0.625
4128625;0.678
5200605;0.713
4100608;0.696
2100501;0.633
4100707;0.676
3102100;0.62
3200359;0.664
2200400;0.614
2300705;0.601
5100607;0.705
3501152;0.766
1300029;0.527
3102209;0.592
3501202;0.728
3501301;0.758
3501400;0.688
3501509;0.722
3102308;0.676
1700707;0.708
4300604;0.699
3102407;0.572
1100346;0.643
2200459;0.578
5200803;0.66
4100806;0.708
1400027;0.484
5000609;0.673
1600105;0.642
2100550;0.52
4100905;0.669
2600906;0.58
4300638;0.624
5200829;0.609
2200509;0.598
2100600;0.555
2901007;0.625
1300060;0.56
2901106;0.666
2901155;0.561
3501608;0.811
5200852;0.7
3501707;0.751
3501806;0.745
4300646;0.682
2300754;0.606
5200902;0.681
2500734;0.606
3501905;0.785
2800100;0.611
3102506;0.641
4101002;0.709
2700201;0.568
2901205;0.54
4101051;0.695
1500701;0.484
2100709;0.581
3502002;0.754
1300086;0.594
1701002;0.671
1500800;0.718
5201108;0.737
1500859;0.548
2100808;0.581
5000708;0.663
5000807;0.67
3200409;0.73
4200804;0.699
2901304;0.555
4101101;0.725
2901353;0.588
3102605;0.734
3502101;0.779
4300661;0.72
3102803;0.7
3502200;0.719
3102852;0.597
5000856;0.697
2601003;0.572
4200903;0.687
2901403;0.625
2200608;0.63
1701051;0.648
2400802;0.624
3300100;0.724
2901502;0.589
4101150;0.721
5201207;0.725
3502309;0.721
3502408;0.741
5201306;0.714
2200707;0.594
4201000;0.688
4201109;0.674
1300102;0.561
4300703;0.74
2901601;0.592
4101200;0.687
2300804;0.599
2200806;0.62
2901700;0.561
3102902;0.683
4201208;0.749
3103009;0.645
2901809;0.598
5000906;0.643
2400901;0.578
4101309;0.656
4300802;0.758
3103108;0.684
2500775;0.578
3502507;0.755
5201405;0.718
3502606;0.721
5201454;0.693
1701101;0.651
5001003;0.697
3300159;0.692
3200508;0.673
5100805;0.675
3502705;0.71
2100832;0.568
4201257;0.708
2401008;0.639
2901908;0.548
5201504;0.693
2901957;0.552
4101408;0.748
1300144;0.637
2300903;0.618
2800209;0.578
5001102;0.688
2301000;0.641
4201273;0.733
2500809;0.549
3103207;0.695
2800308;0.77
3502754;0.704
2902054;0.57
2301109;0.655
2902005;0.581
3502804;0.788
2902104;0.534
3103306;0.661
2301208;0.615
2601052;0.592
3502903;0.776
3200607;0.752
5201603;0.693
3103405;0.663
5201702;0.732
5201801;0.684
1701309;0.593
1701903;0.639
1702000;0.675
5101001;0.687
1702109;0.752
5101209;0.701
