CODIGO;UF;1.1.1.a;1.1.1.b;1.1.1.c;1.1.1.d;1.1.1.e;1.1.1.f;1.1.1.g;1.1.1.h;1.1.1.i;1.1.1.j;1.1.1.k;1.1.1.l;1.2.1.a;1.2.1.b;1.2.1.c;1.2.1.d;1.2.1.e;1.2.1.f;1.2.1.g;1.2.1.h;1.2.1.i;1.2.2.a;1.2.2.b;1.2.2.c;1.2.2.d;1.2.2.e;1.2.2.f;1.2.2.g;1.2.2.h;1.2.2.i;1.2.2.j;1.2.2.k;1.2.2.l;1.3.1.a;1.3.1.b;1.3.1.c;1.3.1.d;1.4.1.A;1.4.1.B;1.4.1.C;1.4.1.D;1.4.1.E;1.4.1.F;1.4.1.G;1.4.1.H;1.4.1.Ced;1.4.1.Ded;1.4.1.Eed;1.4.1.Fed;1.4.1.Ged;1.4.1.Hed; 1.4.2; 1.4.3; 1.4.4;1.5.1.A.a;1.5.1.A.b;1.5.1.A.d;1.6.1.F;1.7.1.A;2.3.1.A; 2.5.1; 2.6.1; 3.1.1.A ; 3.1.1.B ;3.1.1.C;3.1.2;3.1.2.a;3.1.2.b;3.1.2.c;3.1.2.d;3.1.2.e;3.1.2.f;3.1.2.g;3.1.2.h;3.1.2.i;3.1.2.j;3.1.2.k;3.1.2.l;3.1.3.a;3.1.3.b;3.1.3.c;3.1.3.d;3.1.3.e;3.4.1.A.a;3.4.1.A.b;3.4.1.A.c;3.4.1.A.d;3.4.1.A.e;3.4.1.A.f;3.5.1.A;3.5.1.B;3.5.1.C;3.5.1.D;3.5.1.E;3.7.1;4.1.1;4.1.1.A;4.2.1;4.3.1;4.3.2;4.4.1;4.4.2.a;4.4.2.b;4.4.2.c;4.4.2.d;4.4.2.e;4.5.1;4.5.2;4.6.1.a;4.6.1.b;4.6.1.c;4.6.1.d;4.6.2.a;4.6.2.b;4.6.2.c;4.6.2.d;4.6.2.e;4.7.1.A;4.7.1.B;4.7.1.C;4.7.1.D;4.7.1.E;4.7.1.F;4.7.1.G;4.7.1.H;4.7.1.I;4.7.1.J;4.7.1.K;4.7.1.L;4.8.1;6.1.1.A;6.1.1.B;6.1.1.C;6.1.1.D;6.1.1.E;6.1.1.F;6.1.1.G;6.2.1.A;6.2.1.B;6.2.1.C;6.2.1.D;6.2.1.E;6.2.1.F;6.3.1;7.3.1.a;7.3.1.b;7.3.1.c;7.3.1.d;7.3.1.e;8.1.1;8.1.2;8.2.1;8.3.1;8.4.1.a;8.4.1.b;8.4.1.c;8.4.1.d;8.4.1.e;9.1.1.A;9.1.1.B;9.1.1.C;9.1.1.D;9.1.1.E;9.1.2;9.1.3; 9.1.4 ;10.1.1.a;10.1.1.b;10.1.1.c;10.1.1.d;10.1.1.e;10.1.1.f;11.1.1.a;11.1.1.b;11.1.2.a;11.1.2.b;11.1.2.c;11.2.1;11.4.1;11.4.2.a;11.4.2.b;11.4.2.c;11.4.2.d;11.4.2.e;12.1.1;13.1.1.A;13.1.1.B;13.1.1.C;13.1.1.D;13.1.1.E;13.1.1.F;13.1.1.G
1100205;RO;1;;1;1;;;;;;;;;1;;;;1;;;;;1;;;;;;;;;;;;;;;1;1;0;1;0;;0;;0;1.0;0.0;0.0;0.0;0.0;0.0;1229;328;Nao;91;40;40;1.22;5400000;7.48;Nao;Nao;3.8;3;2017;Sim;1;;;;;;;;;;;;1;;1;;;3985992;3734090;4575175;1460635;4100547;9021791;0.00;1.00;1.00;0.50;0.50;Sim;Sim;;Sim;Nao;Nao;Nao;;;;;;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Nao;;1;;;;Nao;Sim;2;Nao;1;;;;;Sim;Sim;Nao;Nao;Sim;84;0;4200000;;1;;;;;;;;;1;Nao;Sim;;;1;;;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao
1302603;AM;1;;1;1;;;;1;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;1;1;0;;0;;0;;0;0.0;0.0;0.0;0.0;0.0;0.0;2176;1126;;1344;90;1114;;9105948;8.07;Sim;Nao;3.8;3.3;2017;Nao;;;;;;;;;;;;;1;;;1;;4069796;759415;4475051;1317286;1051926;11163771;0.00;1.00;1.00;0.50;0.50;Sim;Sim;2014;Sim;Nao;Nao;Sim;1;;1;1;;2015;2;;1;1;;1;1;1;;1;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Sim;;1;1;1;1;Sim;Sim;1;Sim;;;;1;;Nao;Sim;Nao;Sim;Nao;375;;39602450.34;;1;1;;;;1;;1;;;Sim;Sim;1;;1;;;Nao;Sim;Sim;Nao;Sim;Sim;Nao;Nao
1506807;PA;1;;1;1;;;1;;;;;;1;;;;1;;;;;;;;;;;;;;;;1;;;;1;1;0;1;0;0;0;0;0;1.0;0.0;0.0;0.0;0.0;0.0;1115;121;Nao;119;76;0;0.13;12299162.28;10;Sim;;3;2.7;2017;Sim;;;;;;;;;;;;;;;;;1;986048.55;87727.45;640968;;;1287475;0.00;1.00;1.00;0.66;0.66;Sim;Sim;2017;Sim;Nao;Nao;Nao;;;;;;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Sim;Nao;Sim;Nao;Sim;Nao;1;;;;;Sim;Sim;2;Sim;;1;1;1;;Sim;Sim;Nao;Nao;Nao;31;;208937.19;;1;;;;;1;;1;;;Nao;Sim;;1;;;;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao
1721000;TO;1;;1;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;1;1;;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;910;433;Sim;190;81;;0;12062740;5.87;Nao;Nao;3.85;3.75;2019;Nao;;;;;;;;;;;;;1;1;;;;3094185;11198284;3518580;7396677;2571446;16063123;0.00;0.00;1.00;0.50;0.50;Sim;Sim;2018;Sim;Nao;Nao;Nao;;;;;;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;Nao;Sim;Nao;Nao;Nao;Nao;Sim;Sim;Sim;Nao;Nao;Sim;Nao;Nao;1;;;;;Sim;Sim;1 e 2;Nao;;;;1;;Sim;Sim;Sim;Nao;Nao;81;29;13917409.73;;1;;;;;1;;1;;;Sim;Sim;;;;;1;Sim;Sim;Sim;Sim;Sim;Nao;Nao;Sim
2211001;PI;1;;1;1;;;;;;;;;1;1;;;;1;;;;1;1;1;1;;;;;;;;;;1;1;;8;;8;;8;;8;;1.0;0.0;1.0;0.0;1.0;0.0;2200;533;Sim;436;80;438;46.1;30071004.22;5.8;Sim;Sim;3.85;3.6;2019;Sim;1;;;;;;;;;;;;1;1;1;1;;22702413;12506350;17486064;5276654;9442630;40794589;0.00;0.00;1.00;0.67;0.67;Sim;Sim;2008;Sim;Nao;Nao;Sim;1;;1;;;2008;2;;;1;1;1;1;1;;;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Nao;Sim;Nao;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Sim;Nao;Nao;Nao;Nao;Sim;;;;;;Sim;sim;2;Sim;;1;1;1;1;Sim;Sim;Sim;Sim;Sim;144;59;24180134.84;;;;;;;1;;1;;;Sim;Nao;;;;;;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao
2303709;CE;1;;1;1;;;;;;;;;1;;1;;;;;;;1;;;;;;;;1;;;;;;;1;2;5;0;5;0;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;;;Nao;65;40;65;;;4;Nao;Sim;;;;Nao;;;;;;;;;;;;;1;;;;;;;;;;;0.00;1.00;1.00;0.50;0.50;;Sim;;Nao;;Nao;Nao;;;;;;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;;;;;;;;Sim;Sim;Nao;Nao;Sim;Nao;Sim;1;;;;;Nao;Nao;NA;Sim;1;;;;;Nao;Sim;Sim;Nao;Nao;72;16;3931742.73;;;1;;1;;1;;1;;;Sim;Sim;;;1;;1;Nao;Sim;Sim;Nao;Nao;Nao;Nao;Nao
2304400;CE;1;;1;;;;;1;;;;;;;1;1;;1;;;;1;1;1;1;;;;1;;;;;1;;1;;9;22;9;22;9;22;9;22;1.0;1.0;1.0;1.0;1.0;1.0;6039;1260;Sim;1665;80;2047;212;127000000;5.92;Sim;Sim;3.6;3.4;2019;Sim;;1;1;1;;;;;;;;;1;;;1;;77232591;106866379;50198940;21480793;26678543;204650833;0.00;0.00;1.00;0.56;0.56;Sim;Sim;2009;Sim;Nao;Nao;Sim;1;;1;;;2015;1;;1;1;1;1;1;1;;;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Sim;Sim;Nao;Sim;Sim;Nao;Nao;Sim;Sim;Sim;Nao;Sim;Nao;Nao;;1;1;;;Nao;Nao;NA;Sim;;1;;1;;Sim;Sim;Sim;Sim;Sim;355;211;144755900.5;;1;;;;;1;;1;;;Sim;Sim;;;1;;;Nao;Sim;Sim;Sim;Sim;Sim;Sim;Nao
2307304;CE;1;;1;1;;;;;1;;;;1;;;;;;;;;1;;;;;;;;1;;;;;;;1;3;6;0;6;0;;0;;0.0;1.0;0.0;0.0;0.0;0.0;;12;Nao;31;46;31;;1959880;6;Nao;Nao;2.45;2.2;2019;Sim;;;;;;;;;;;;;1;;;;;4321540;642445;543384;36338;1413487;;0.00;1.00;1.00;0.50;0.50;Sim;Sim;;Sim;Sim;Sim;Nao;;;;;;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;Nao;Sim;Nao;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Nao;Sim;Sim;1;;;;;Nao;Nao;NA;Sim;;;;;1;Nao;Sim;Sim;Sim;Nao;86;6;3116657.85;;1;;;;;1;;1;1;;Sim;Sim;;;;;1;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao
2403251;RN;1;;1;1;;1;;;1;;;;1;;;1;;1;;;;;;;;;;;;;;;1;;;;1;6;2;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;450;50;Nao;;;;0;1000000;10;Sim;Nao;3.3;3;2019;Sim;;;;;;;;;;;;;;;;;1;;;;;;;0.00;1.00;1.00;0.50;0.50;Sim;Sim;2013;Sim;Sim;Nao;Sim;1;;1;1;;2018;2;;;1;;1;1;1;;;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;;;;;;;;;;;;;;;1;;;;;Sim;Sim;1;Sim;;1;;;;Nao;Sim;Nao;Sim;Nao;28;;3000000;;1;;;;;1;;;1;;Nao;;;;;;;Nao;;;;;;;
2408003;RN;1;;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;1;2;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;327;212;Nao;23;;;;1131492;10;Nao;Nao;3.3;2.95;2018;Nao;;;;;;;;;;;;;1;;;;;581283;359355;361992;23076;676933;;0.00;1.00;1.00;0.50;0.50;;Sim;;Sim;Nao;Nao;Sim;;;;;1;2011;2;;;1;;1;1;1;;;Sim;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Sim;Nao;Sim;;;1;;;Nao;Sim;2;Sim;1;;;;;Nao;Sim;Sim;Nao;Nao;88;4;;;1;;;;;1;;1;;;Sim;Nao;;;;;;Nao;Sim;Sim;Sim;Sim;Nao;Nao;Nao
2507507;PB;1;;1;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;1;44;3;0;0;0;0;4;0;0.0;0.0;0.0;0.0;0.1;0.0;2237;752;Nao;435;45;510;20.9;38928708;6.17;Nao;Sim;3.8;3.55;2019;Sim;1;;;;;;;;;;;;1;;;1;;19342157;23827682;14365421;4571345;;56584786;0.00;0.00;1.00;0.50;0.50;Sim;Sim;2009;Sim;Nao;Nao;Nao;;;;;1;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Nao;;;;;;;;;;;;;;Nao;1;;;;;Sim;Sim;1;Sim;;1;1;1;;Sim;Sim;Sim;Nao;Nao;240;50;21071334.57;;;;;;1;1;;1;;;Sim;Sim;1;1;;;1;Nao;Sim;Sim;Sim;Sim;Nao;Sim;Nao
2604106;PE;1;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;800;170;Nao;119;70;119;;6717821.96;2.81;Nao;;3.15;2.6;2018;Nao;;;;;;;;;;;;;;;;;;7974026;4955486;2429753;;4772075;14411479;0.00;1.00;1.00;0.55;0.00;;Sim;2004;Sim;Nao;Nao;Nao;;;;;;NA;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;Nao;Nao;Nao;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Sim;;;;;;Sim;Sim;;Sim;;1;;1;;;;;;;;;104832.02;;;;;;;;;1;;;Sim;Sim;1;;;;1;Sim;Sim;Sim;Sim;Nao;Nao;Sim;Nao
