CODIGO;UF;1.3.1.a;1.3.1.b;1.3.1.c;1.3.1.d;1.3.1;3.1.3.a;3.1.3.b;3.1.3.c;3.1.3.d;3.1.3.e;3.1.3;4.4.2.a;4.4.2.b;4.4.2.c;4.4.2.d;4.4.2.e;4.4.2;4.6.1.a;4.6.1.b;4.6.1.c;4.6.1.d;4.6.1;4.6.2.a;4.6.2.b;4.6.2.c;4.6.2.d;4.6.2.e;4.6.2;4.7.1.A;4.7.1.B;4.7.1.C;4.7.1.D;4.7.1.E;4.7.1.F;4.7.1.G;4.7.1.H;4.7.1.I;4.7.1.J;4.7.1.K;4.7.1.L;4.7.1;6.1.1.A;6.1.1.B;6.1.1.C;6.1.1.D;6.1.1.E;6.1.1.F;6.1.1.G;6.1.1;6.2.1.A;6.2.1.B;6.2.1.C;6.2.1.D;6.2.1.E;6.2.1.F;6.2.1;7.3.1.a;7.3.1.b;7.3.1.c;7.3.1.d;7.3.1.e;7.3.1;8.4.1.a;8.4.1.b;8.4.1.c;8.4.1.d;8.4.1.e;8.4.1;9.1.1.A;9.1.1.B;9.1.1.C;9.1.1.D;9.1.1.E;9.1.1;10.1.1.a;10.1.1.b;10.1.1.c;10.1.1.d;10.1.1.e;10.1.1.f;10.1.1;11.4.2.a;11.4.2.b;11.4.2.c;11.4.2.d;11.4.2.e;11.4.2
1100205;RO;;;;1;0;1;;1;;;2;;;;;;0;;;;;0;;;;;;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Nao;Nao;Nao;Sim;Nao;Nao;Nao;1;Nao;Nao;Nao;Sim;Nao;Sim;2;;1;;;;1;1;;;;;0;Sim;Sim;Nao;Nao;Sim;3;;1;;;;;1;;;1;;;1
1302603;AM;;;;1;0;1;;;1;;2;1;;1;1;;3;;1;1;;2;1;1;1;;1;4;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Nao;Sim;Nao;9;Nao;Nao;Nao;Nao;Nao;Sim;Nao;1;Nao;Sim;Nao;Nao;Nao;Nao;1;;1;1;1;1;4;;;;1;;1;Nao;Sim;Nao;Sim;Nao;2;;1;1;;;;2;1;;1;;;2
1506807;PA;;;;1;0;;;;;1;0;;;;;;0;;;;;0;;;;;;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Nao;Nao;Nao;Nao;Nao;Sim;Nao;1;Sim;Sim;Nao;Sim;Nao;Sim;4;1;;;;;0;;1;1;1;;3;Sim;Sim;Nao;Nao;Nao;2;;1;;;;;1;;1;;;;1
1721000;TO;;1;1;;2;1;1;;;;2;;;;;;0;;;;;0;;;;;;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Nao;Sim;Nao;Nao;Nao;Nao;Sim;2;Sim;Sim;Nao;Nao;Sim;Nao;3;1;;;;;0;;;;1;;1;Sim;Sim;Sim;Nao;Nao;3;;1;;;;;1;;;;;1;1
2211001;PI;;1;1;;2;1;1;1;1;;4;1;;1;;;2;;;1;1;2;1;1;1;;;3;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Nao;Sim;Nao;9;Sim;Sim;Nao;Sim;Nao;Nao;Sim;4;Nao;Sim;Nao;Nao;Nao;Nao;1;;;;;;0;;1;1;1;1;4;Sim;Sim;Sim;Sim;Sim;5;;;;;;;0;;;;;;0
2303709;CE;;;;1;0;1;;;;;1;;;;;;0;;;;;0;;;;;;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;;;;;;;0;Sim;Sim;Nao;Nao;Sim;Nao;3;1;;;;;0;1;;;;;0;Nao;Sim;Sim;Nao;Nao;2;;;1;;1;;2;;;1;;1;2
2304400;CE;1;;1;;2;1;;;1;;2;1;;1;;;2;;1;1;1;3;1;1;1;;;3;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Nao;7;Sim;Sim;Nao;Sim;Sim;Nao;Nao;4;Sim;Sim;Sim;Nao;Sim;Nao;4;;1;1;;;2;;1;;1;;2;Sim;Sim;Sim;Sim;Sim;5;;1;;;;;1;;;1;;;1
2307304;CE;;;;1;0;1;;;;;1;;;;;;0;;;;;0;;;;;;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Nao;Sim;Nao;Sim;Nao;Nao;Nao;2;Nao;Sim;Nao;Sim;Nao;Sim;3;1;;;;;0;;;;;1;1;Nao;Sim;Sim;Sim;Nao;3;;1;;;;;1;;;;;1;1
2403251;RN;;;;1;0;;;;;1;0;1;;1;1;;3;;;1;;1;1;1;1;;;3;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Sim;Nao;5;;;;;;;;0;;;;;;;0;1;;;;;0;;1;;;;1;Nao;Sim;Nao;Sim;Nao;2;;1;;;;;1;;;;;;0
2408003;RN;;;;1;0;1;;;;;1;;;;;1;0;;;1;;1;1;1;1;;;3;Sim;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;2;Sim;Nao;Sim;Nao;Nao;Nao;Nao;2;Nao;Sim;Nao;Nao;Sim;Nao;2;;;1;;;1;1;;;;;0;Nao;Sim;Sim;Nao;Nao;2;;1;;;;;1;;;;;;0
2507507;PB;;;;1;0;1;;;1;;2;;;;;1;0;;;;;0;;;;;;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;;;;;;;0;;;;;;;0;1;;;;;0;;1;1;1;;3;Sim;Sim;Sim;Nao;Nao;3;;;;;;1;1;1;1;;;1;3
2604106;PE;;;;1;0;;;;;;0;;;;;;0;;;;;0;;;;;;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Nao;Nao;Nao;Sim;Nao;Sim;Nao;2;Nao;Sim;Nao;Nao;Nao;Nao;1;;;;;;0;;1;;1;;2;;;;;;0;;;;;;;0;1;;;;1;2
2607901;PE;1;;;;1;;;;;1;0;;;;;1;0;;;;;0;;;;;;0;;;;;;;;;;;;;0;;;;;;;;0;Sim;Sim;Nao;Sim;Nao;Nao;3;1;;;;;0;1;;;;;0;Nao;Sim;Nao;Nao;Nao;1;;1;;;;;1;;;;;;0
2609600;PE;;;1;;1;;;;1;;1;1;;1;1;;3;;1;1;1;3;1;1;1;;1;4;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Nao;10;Sim;Sim;Sim;Nao;Nao;Nao;Nao;3;Sim;Sim;Sim;Sim;Sim;Nao;5;1;;;;;0;;1;;1;;2;Nao;Sim;Sim;Nao;Sim;3;;;1;;;;1;;1;;;1;2
2611606;PE;1;;1;;2;1;;;1;;2;1;;1;1;;3;;;;;0;;;;;;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Sim;Sim;Sim;Sim;Sim;Sim;Sim;7;Nao;Sim;Sim;Sim;Sim;Nao;4;;;;;;0;;1;1;1;1;4;Nao;Sim;Sim;Nao;Sim;3;;1;;;;;1;;1;;;;1
2910800;BA;;;;1;0;1;;;1;;2;;;;;1;0;;1;1;1;3;1;1;1;1;1;5;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;11;Sim;Sim;Sim;Sim;Sim;Sim;Sim;7;Sim;Sim;Nao;Sim;Sim;Nao;4;1;;;;;0;;1;1;1;1;4;Sim;Sim;Sim;Nao;Nao;3;1;;;;;;0;1;1;;;1;3
2927408;BA;1;1;1;;3;1;;;1;;2;;;;;1;0;;1;1;1;3;1;1;1;;1;4;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;12;Sim;Sim;Sim;Sim;Sim;Sim;Sim;7;Sim;Sim;Nao;Sim;Sim;Nao;4;;1;1;1;;3;;1;;1;;2;Sim;Sim;Sim;Sim;Sim;5;;1;;;;;1;1;1;;;1;3
3106200;MG;1;;1;;2;1;;;1;;2;1;1;1;1;;4;;1;;1;2;1;1;1;;1;4;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;12;Sim;Sim;Sim;Sim;Sim;Sim;Sim;7;Sim;Sim;Sim;Sim;Sim;Sim;6;;1;1;;1;3;;1;;1;;2;Sim;Sim;Sim;Sim;Sim;5;;;;;;1;1;;;;;;0
3118601;MG;1;;;;1;;1;;;;1;;;;;;0;;;;1;1;;1;1;;1;3;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao;Sim;Nao;Nao;7;;;;;;;;0;Sim;Sim;Nao;Sim;Nao;Nao;3;;;;;;0;;1;;;;1;Nao;Nao;Sim;Nao;Nao;1;;;;;;;0;;;;;;0
3127701;MG;;;;1;0;;;;1;;1;;;;;1;0;;;;;0;1;1;1;;;3;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;11;;;;;;;;0;;;;;;Sim;1;1;;;;;0;;1;1;;1;3;Sim;Sim;Sim;Nao;Nao;3;;;;;1;;1;;1;;;1;2
3131307;MG;;;;1;0;;;1;;;1;;;;;;0;;;;;0;;;;;;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;;;;;;;0;Nao;Sim;Nao;Nao;Nao;Nao;1;;;;;;0;;;;1;1;2;Sim;Sim;Nao;Nao;Nao;2;;;;;1;;1;;1;;;;1
3136702;MG;;;;1;0;1;;;;;1;1;;1;;;2;;1;1;;2;1;1;1;;;3;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Sim;Nao;7;Sim;Sim;Nao;Sim;Sim;Nao;Sim;5;Sim;Sim;Sim;Sim;Sim;Sim;6;;1;;;;1;1;;;;;0;Sim;Sim;Sim;Nao;Nao;3;;;1;;;;1;;;;;;0
