CODIGO;Pedestre;Ciclista;Motociclista;Oc_Triciclo;Oc_Automovel;Oc_Caminhonete;Oc_Veiculo_Pesado;Oc_Onibus;Outros_Terrestres;Transporte_Aquatico;Transporte_Aereo_Espacial;Outros_Transportes;Total_Causas_Externas;Total_Transportes
1100015;-;-;3.67;-;0.67;-;-;-;3.33;-;-;-;19.33;7.67
1100023;4.67;1.67;9.67;-;4.33;0.33;1.00;-;9.67;-;-;0.33;103.33;31.67
1100031;0.33;0.67;1.00;-;0.33;-;-;-;-;-;-;-;5.33;2.33
1100049;3.33;1.00;15.33;-;3.67;-;1.00;-;1.33;-;-;-;65.33;25.67
1100056;1.33;1.00;2.33;-;1.00;-;-;-;-;-;-;-;13.33;5.67
1100064;0.67;0.33;0.67;-;1.00;-;0.67;-;1.33;-;-;-;12.33;4.67
1100072;-;0.33;0.67;-;0.33;-;-;-;0.33;-;-;-;6.00;1.67
1100080;0.33;-;1.67;-;0.33;-;-;0.33;1.00;-;-;-;11.33;3.67
1100098;0.33;1.33;4.33;-;0.67;-;0.33;-;0.67;-;-;-;20.67;7.67
1100106;1.33;0.67;0.67;-;1.00;-;-;-;0.33;-;-;-;25.67;4.00
1100114;0.67;1.33;8.00;0.67;2.67;-;0.67;0.33;2.00;-;0.33;-;43.33;16.67
1100122;1.33;0.67;8.33;-;11.67;1.00;0.33;-;8.00;-;0.33;0.33;100.33;32.00
1100130;1.33;-;7.33;-;1.67;-;0.33;-;3.00;-;-;-;36.00;13.67
1100148;-;0.33;3.67;-;0.67;-;-;-;2.00;-;-;-;15.67;6.67
1100155;2.00;0.33;8.67;-;1.67;0.33;0.33;-;3.00;-;-;0.33;30.00;16.67
1100189;1.67;1.33;7.33;-;4.00;0.33;-;-;1.67;-;0.33;-;37.33;16.67
1100205;13.67;5.00;42.33;-;11.67;1.67;2.33;-;15.00;0.33;0.33;-;405.67;92.33
1100254;1.00;0.33;5.00;-;2.00;-;-;-;0.33;-;-;-;15.67;8.67
1100262;-;-;0.33;-;0.33;-;-;-;0.67;-;-;-;2.00;1.33
1100288;2.00;-;4.00;-;2.33;0.33;0.67;-;6.33;-;-;-;40.00;15.67
1100296;0.33;-;0.67;-;-;-;-;-;0.67;-;-;-;3.33;1.67
1100304;3.67;3.67;14.00;0.33;6.00;1.00;2.33;-;2.33;-;-;-;96.33;33.33
1100320;0.33;0.33;4.33;-;0.33;-;-;0.33;3.00;-;-;-;18.67;8.67
1100338;1.00;-;6.67;-;1.33;-;0.67;-;1.67;-;-;-;26.67;11.33
