CODIGO;PIBPERCPTA
1100015;18732.17
1100023;20618.18
1100031;21202.96
1100049;22130.78
1100056;22721.08
1100064;16410.55
1100072;27040.6
1100080;12102.82
1100098;16650.27
1100106;15732.01
1100114;23507.78
1100122;22739.38
1100130;13523.83
1100148;14199.05
1100155;17794.04
1100189;26493.58
1100205;28836.46
1100254;17380.72
1100262;23890.32
1100288;21204.01
1100296;17842.99
1100304;25822.66
1100320;21385.41
1100338;14846.72
1100346;14410.14
1100379;16438.94
1100403;13957.19
1100452;15123.8
1100502;14791.65
1100601;20886.57
1100700;15398.06
1100809;16170.5
1100908;19165.44
1100924;26538.27
1100940;14517.11
1101005;16447.33
1101104;15152.5
1101203;17577.06
1101302;15618.12
1101401;15120.74
1101435;13694.36
1101450;15750.2
1101468;36938.42
1101476;16977.61
1101484;14022.48
1101492;16479.25
1101500;15858.71
1101559;16651.03
1101609;14958
1101708;14893.19
1101757;12101.06
1101807;16030.46
1200013;16119.75
1200054;12134.14
1200104;16728.68
1200138;16704.34
1200179;16085.3
1200203;13263.8
1200252;16382.28
1200302;10544.48
1200328;9688.79
1200336;10796.46
1200344;14182.17
1200351;10084.48
1200385;14392.66
1200393;9853.18
1200401;21543.65
1200427;10508.27
1200435;10150.15
1200450;16162.26
1200500;11176.37
1200609;10873.24
1200708;12047.45
1200807;13045.53
1300029;9405.95
1300060;5995.44
1300086;7533.21
1300102;8972.25
1300144;8809.62
1300201;9085.35
1300300;7621.23
1300409;5697.67
1300508;7059.8
1300607;6602.92
1300631;6557.79
1300680;6089.15
1300706;9115.38
1300805;6655.2
1300839;11526.96
1300904;6351.22
1301001;9371.46
1301100;6543.75
1301159;10321.25
1301209;13520.93
1301308;23736.94
1301407;11363.73
1301506;7448.88
1301605;7417.66
1301654;6834.22
1301704;9430.87
1301803;4533.95
1301852;13618.27
1301902;20860.58
1301951;10320.44
1302009;11123.21
1302108;12701.43
1302207;6535.08
1302306;12223.5
1302405;9841.76
1302504;13027.29
1302553;8518.37
1302603;33564.11
1302702;8859.52
1302801;7805.4
1302900;6481.4
1303007;6462.02
1303106;5861.52
1303205;6650.15
1303304;6757.82
1303403;9092.68
1303502;7226.48
1303536;16206.55
1303569;14234.32
1303601;5558.32
1303700;6887.79
1303809;6184.5
1303908;5500.85
1303957;7232.53
1304005;10712.82
1304062;6651.46
1304104;12019.31
1304203;10450.25
1304237;6273.39
1304260;13244.83
1304302;17378.65
1304401;5634.25
1400027;12332.42
1400050;15495.83
1400100;24852.52
1400159;20898.61
1400175;13700.76
1400209;15720.08
1400233;16245.56
1400282;12950.41
1400308;16304.33
1400407;12541.45
1400456;13547.3
1400472;18235.04
1400506;18387.38
1400605;14739.39
1400704;10728.51
1500107;8222.36
1500131;11095.92
1500206;14578.7
1500305;8364.42
1500347;16308.05
1500404;11999.45
1500503;17706.58
1500602;22492.43
1500701;6755.12
1500800;13137.13
1500859;11784.93
1500909;6993.3
1500958;9945.13
1501006;7685.44
1501105;5774.67
1501204;7514.88
1501253;24621.05
1501303;42290.57
1501402;20350
1501451;8832.67
