CODIGO;POP2017;CLASSEPOP
1100015;25437;4
1100023;107345;6
1100031;6224;2
1100049;88507;5
1100056;17934;3
1100064;18467;3
1100072;8659;2
1100080;17400;3
1100098;33030;4
1100106;47451;4
1100114;55871;5
1100122;132667;6
1100130;38609;4
1100148;21747;4
1100155;39759;4
1100189;38051;4
1100205;519436;7
1100254;22124;4
1100262;3829;1
1100288;57074;5
1100296;8198;2
1100304;95630;5
1100320;24181;4
1100338;28891;4
1100346;16747;3
1100379;14045;3
1100403;20916;4
1100452;39044;4
1100502;10051;3
1100601;6460;2
1100700;14484;3
1100809;25266;4
1100908;3550;1
1100924;10593;3
1100940;22443;4
1101005;9745;2
1101104;10310;3
1101203;10751;3
1101302;12258;3
1101401;16186;3
1101435;7769;2
1101450;5904;2
1101468;2410;1
1101476;3411;1
1101484;5994;2
1101492;19694;3
1101500;12653;3
1101559;4931;1
1101609;11350;3
1101708;13106;3
1101757;11149;3
1101807;8047;2
1200013;14366;3
1200054;6986;2
1200104;24765;4
1200138;9664;2
1200179;11136;3
1200203;82622;5
1200252;17340;3
1200302;32360;4
1200328;7858;2
1200336;17910;3
1200344;8886;2
1200351;17897;3
1200385;18510;3
1200393;11353;3
1200401;383443;6
1200427;17945;3
1200435;6230;2
1200450;21552;4
1200500;43139;4
1200609;40024;4
1200708;18174;3
1200807;17459;3
1300029;15908;3
1300060;11242;3
1300086;12978;3
1300102;20196;4
1300144;21406;4
1300201;19054;3
1300300;38454;4
1300409;27743;4
1300508;31542;4
1300607;41329;4
1300631;18978;3
1300680;18483;3
1300706;34176;4
1300805;40464;4
1300839;12820;3
1300904;15490;3
1301001;28337;4
1301100;37399;4
1301159;29190;4
1301209;84762;5
1301308;27817;4
1301407;34888;4
1301506;19492;3
1301605;19669;3
1301654;16339;3
1301704;53383;5
1301803;28299;4
1301852;47407;4
1301902;99854;5
1301951;8128;2
1302009;9125;2
1302108;4205;1
1302207;13956;3
1302306;15824;3
1302405;44861;4
1302504;96460;5
1302553;30222;4
1302603;2130264;7
1302702;54708;5
1302801;18531;3
1302900;62212;5
1303007;20902;4
1303106;36431;4
1303205;18586;3
1303304;25112;4
1303403;113832;6
1303502;19597;3
1303536;34574;4
1303569;32001;4
1303601;23765;4
1303700;23075;4
1303809;44553;4
1303908;38047;4
1303957;13421;3
1304005;9211;2
1304062;63635;5
1304104;17930;3
1304203;62021;5
1304237;18782;3
1304260;13428;3
1304302;16968;3
1304401;22148;4
1400027;11560;3
1400050;15933;3
1400100;332020;6
1400159;11945;3
1400175;16877;3
1400209;20807;4
1400233;9493;2
1400282;10859;3
1400308;16852;3
1400407;10527;3
1400456;12375;3
