CODIGO;MTRA01;MTRA03;MTRA04;MTRA06;MTRA07;MTRA081;MTRA082;MTRA083;MTRA084;MTRA085;MTRA086;MTRA087;MTRA09;MTRA091;MTRA10;MTRA101;MTRA102;MTRA111;MTRA112;MTRA113;MTRA114;MTRA12;MTRA16;MTRA161;MTRA17;MTRA181;MTRA182;MTRA183;MTRA184;MTRA185;MTRA186;MTRA187;MTRA188;MTRA19;MTRA1911;MTRA192;MTRA1912;MTRA193;MTRA1913;MTRA1914;MTRA1915;MTRA201;MTRA202;MTRA203;MTRA204;MTRA205;MTRA206;MTRA207;MTRA208;MTRA209;MTRA2010;MTRA21;MTRA221;MTRA222;MTRA223;MTRA224;MTRA23;MTRA231;MTRA24;MTRA25
1100015;Setor subordinado a outra secretaria;Masculino;54;Ensino medio completo;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1100023;Nao possui estrutura;;;;0;;;;;;;;0;;1;2006;Paritário;1;1;0;0;12;1;1;0;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1
1100031;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1100049;Secretaria exclusiva;Masculino;58;Especializacao;0;;;;;;;;0;;0;;;;;;;;1;0;0;0;0;1;1;0;0;0;;1;1;1;0;;0;0;0;1;0;0;0;1;0;0;1;0;;Totalmente adaptada;0;0;1;0;1;0;0;0
1100056;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1100064;Setor subordinado diretamente a chefia do Executivo;Masculino;28;Ensino superior completo;1;0;0;0;0;0;1;0;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;1;0;;1;0;0;0;0;1;0;0;0;0;0;0;0;0;;Parcialmente adaptada;;;;1;1;0;0;0
1100072;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;1;1;0
1100080;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;1;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0
1100098;Nao possui estrutura;;;;0;;;;;;;;0;;0;;;;;;;;0;;;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;0
1100106;Setor subordinado a outra secretaria;Masculino;45;Ensino superior completo;0;;;;;;;;0;;1;2016;Tem maior representação governamental;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0
